ID,Mass,Height,Landing Limbs,Trial No,Hip Flexion ROM,Knee Flexion ROM,Ankle Flexion ROM,Hip Flexion at Contact,Knee Flexion at Contact,Ankle Flexion at Contact,RXF,RXF_R,JCF,JCF_R,RXF_FE_FFT,JCF_FE_FFT,RXF_FFT,JCF_FFT,RXF_FE,JCF_FE,RXF_SMR,JCF_SMR,DIS,IMU_FFT
4,61,4.000000000e-01,2,6,4.161423500e+01,7.898525700e+01,4.893121500e+01,5.097818600e+01,-8.013646500e+01,7.286465000e+00,1.320464053e+00,4.734439331e+01,8.491525579e+00,1.060171760e+02,2.607504727e-04,1.271575717e-03,7.614169338e+01,3.713125709e+02,2.706001285e-03,1.740151811e-02,1.281139891e-01,1.844859808e+00,18,1734.4866418082713
4,61,4.000000000e-01,1,7,2.996876100e+01,5.706313300e+01,4.397509500e+01,3.910108400e+01,-7.885858400e+01,1.039880500e+01,2.720437717e+00,9.292014789e+01,1.389481171e+01,2.213241765e+02,4.226931980e-04,2.053130130e-03,1.234305562e+02,5.995341188e+02,5.574940067e-03,2.847436722e-02,5.180242555e-01,6.302065876e+00,8,1150.2728539793575
4,61,5.000000000e-01,2,7,4.407158400e+01,7.895727500e+01,4.818172400e+01,5.313835300e+01,-7.773729300e+01,5.482201000e+00,1.725442377e+00,4.823701225e+01,1.021793752e+01,1.323740294e+02,2.515514347e-04,1.368792340e-03,7.345548414e+01,3.997007774e+02,3.535915483e-03,2.093942050e-02,1.705619985e-01,2.771835465e+00,17,1653.1527011623339
4,61,5.000000000e-01,2,8,5.651565400e+01,8.147268200e+01,4.869544400e+01,5.733644000e+01,-8.667615200e+01,9.548881000e+00,2.261160328e+00,5.863972962e+01,1.164553527e+01,1.863415565e+02,2.753805913e-04,1.472738598e-03,8.041383138e+01,4.300541034e+02,4.633751854e-03,2.386496878e-02,2.717219558e-01,4.447035428e+00,20,1876.0300271485808
4,61,5.000000000e-01,1,9,2.971828800e+01,6.100855400e+01,5.476265200e+01,5.335887900e+01,-8.332843100e+01,9.875169000e+00,3.337646440e+00,9.997640397e+01,1.513577041e+01,2.370245231e+02,4.675619970e-04,2.271878440e-03,1.365326852e+02,6.634107688e+02,6.839773891e-03,3.101743973e-02,6.838159976e-01,7.351893860e+00,8,1175.562654240571
4,61,5.000000000e-01,2,9,5.542530800e+01,8.151316600e+01,5.024677800e+01,5.537307800e+01,-7.830779800e+01,5.293704000e+00,1.912549130e+00,1.108199524e+02,1.107243661e+01,1.462586076e+02,2.918049059e-04,1.575628413e-03,8.520989222e+01,4.600989377e+02,3.919349710e-03,2.269052885e-02,4.343421482e-01,3.318685157e+00,19,1794.9722468232137
4,61,6.000000000e-01,2,10,6.092198800e+01,9.466428500e+01,5.093358800e+01,5.995996300e+01,-8.748604900e+01,1.391654000e+00,1.900532219e+00,1.308734000e+02,1.048256689e+01,1.424845595e+02,3.045374527e-04,1.332102007e-03,8.892792065e+01,3.889868406e+02,3.894723687e-03,2.148172032e-02,5.097157311e-01,3.060813456e+00,21,1913.3409172137528
4,61,5.000000000e-01,1,11,2.557693600e+01,4.907999900e+01,5.365735700e+01,3.493192300e+01,-2.156875600e+01,-2.280714100e+01,3.172160497e+00,1.126277813e+02,1.407939967e+01,2.131733436e+02,4.381687679e-04,2.088186662e-03,1.279495743e+02,6.097709696e+02,6.500646769e-03,2.885263972e-02,7.321534226e-01,6.150613679e+00,7,1324.010614569189
4,61,6.000000000e-01,2,11,6.484074400e+01,9.929668600e+01,5.075692200e+01,5.457922900e+01,-7.305187800e+01,2.814244000e+00,1.771418502e+00,8.328871075e+01,9.943168210e+00,1.409780580e+02,2.815131041e-04,1.350003690e-03,8.220458523e+01,3.942143076e+02,3.630133461e-03,2.037634110e-02,3.023491358e-01,2.872616996e+00,21,1838.1973244863186
4,61,6.000000000e-01,2,12,6.126166400e+01,9.165494900e+01,4.876579900e+01,6.343340100e+01,-8.714124000e+01,9.665926000e+00,1.825142006e+00,9.494721779e+01,8.883111334e+00,1.354664424e+02,2.980408793e-04,1.226714936e-03,8.703085756e+01,3.582127830e+02,3.740227992e-03,1.820398717e-02,3.551242418e-01,2.466029380e+00,20,1847.1151635879144
4,61,6.000000000e-01,1,13,2.402197000e+01,4.597677700e+01,5.673626900e+01,3.911284600e+01,-2.317246000e+01,-2.360786600e+01,3.513870677e+00,1.033700406e+02,1.504596184e+01,2.285716823e+02,4.479579479e-04,2.023599251e-03,1.308081108e+02,5.909108125e+02,7.200906791e-03,3.083339678e-02,7.443580274e-01,7.047641372e+00,9,1210.3051561822365
4,61,6.000000000e-01,1,15,3.094985300e+01,6.272286700e+01,5.469744200e+01,3.902255800e+01,-2.526130100e+01,-2.387220300e+01,3.247772858e+00,1.111529792e+02,1.352697327e+01,2.090793085e+02,4.417575311e-04,2.134114006e-03,1.289975283e+02,6.231822041e+02,6.655597709e-03,2.772056306e-02,7.397895139e-01,5.795796157e+00,8,1168.5365231987876
